"RECORD #(ITEM)","RECORD #(HOLDINGS)",22,"BARCODE","245|a",130,,
"i275464532","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011559","american cinematographer",,,
"i275464544","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011560","american cinematographer",,,
"i275464556","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011561","american cinematographer",,,
"i275464568","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011562","american cinematographer",,,
"i27546457x","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011563","american cinematographer",,,
"i275464581","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011564","american cinematographer",,,
"i275464593","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011565","american cinematographer",,,
"i27546460x","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011566","american cinematographer",,,
"i275464611","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011567","american cinematographer",,,
"i275464623","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011568","american cinematographer",,,
"i275464635","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011569","american cinematographer",,,
"i275464647","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011570","american cinematographer",,,
"i275464659","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011571","american cinematographer",,,
"i275464660","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011572","american cinematographer",,,
"i275464672","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011573","american cinematographer",,,
"i275464684","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011574","american cinematographer",,,
"i275464696","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011575","american cinematographer",,,
"i275464702","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011576","american cinematographer",,,
"i275464714","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011577","american cinematographer",,,
"i275464726","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011578","american cinematographer",,,
"i275464738","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011579","american cinematographer",,,
"i27546474x","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011580","american cinematographer",,,
"i275464751","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011581","american cinematographer",,,
"i275464763","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011582","american cinematographer",,,
"i275464775","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011583","american cinematographer",,,
"i275464787","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011584","american cinematographer",,,
"i275464799","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011585","american cinematographer",,,
"i275464805","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011586","american cinematographer",,,
"i275464817","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011587","american cinematographer",,,
"i275464829","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011588","american cinematographer",,,
"i275464830","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011589","american cinematographer",,,
"i275464842","c24386637","0002-7928 0002-7928 0002-7938 1","PB1011590","american cinematographer",,,
"i275464854","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012318","american cinematographer",,,
"i275464866","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012319","american cinematographer",,,
"i275464878","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012320","american cinematographer",,,
"i27546488x","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012321","american cinematographer",,,
"i275464891","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012322","american cinematographer",,,
"i275464908","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012323","american cinematographer",,,
"i27546491x","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012324","american cinematographer",,,
"i275464921","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012325","american cinematographer",,,
"i275464933","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012326","american cinematographer",,,
"i275464945","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012327","american cinematographer",,,
"i275464957","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012328","american cinematographer",,,
"i275464969","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012329","american cinematographer",,,
"i275464970","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012330","american cinematographer",,,
"i275464982","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012331","american cinematographer",,,
"i275464994","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012332","american cinematographer",,,
"i275465007","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012333","american cinematographer",,,
"i275465019","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012334","american cinematographer",,,
"i275465020","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012335","american cinematographer",,,
"i275465032","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012336","american cinematographer",,,
"i275465044","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012337","american cinematographer",,,
"i275465056","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012338","american cinematographer",,,
"i275465068","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012339","american cinematographer",,,
"i27546507x","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012340","american cinematographer",,,
"i275465081","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012341","american cinematographer",,,
"i275465093","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012342","american cinematographer",,,
"i27546510x","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012343","american cinematographer",,,
"i275465111","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012344","american cinematographer",,,
"i275465123","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012345","american cinematographer",,,
"i275465135","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012346","american cinematographer",,,
"i275465147","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012347","american cinematographer",,,
"i275465159","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012348","american cinematographer",,,
"i275465160","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012349","american cinematographer",,,
"i275465172","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012350","american cinematographer",,,
"i275465184","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012351","american cinematographer",,,
"i275465196","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012352","american cinematographer",,,
"i275465202","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012353","american cinematographer",,,
"i275465214","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012354","american cinematographer",,,
"i275465226","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012355","american cinematographer",,,
"i275465238","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012356","american cinematographer",,,
"i27546524x","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012357","american cinematographer",,,
"i275465251","c24386637","0002-7928 0002-7928 0002-7938 1","PB1012358","american cinematographer",,,
"i275465263","c24495700","0195-8267 0195-8267 1","PB1011845","american classic screen",,,
"i275465275","c24495700","0195-8267 0195-8267 1","PB1011846","american classic screen",,,
"i275465287","c24495700","0195-8267 0195-8267 1","PB1011847","american classic screen",,,
"i275465299","c24495700","0195-8267 0195-8267 1","PB1011848","american classic screen",,,
